INFO:root:start with arguments Namespace(batch_size=128, benchmark=0, brightness=0, contrast=0, data_nthreads=4, data_train='data/cifar10_train.rec', data_train_idx='', data_val='data/cifar10_val.rec', data_val_idx='', disp_batches=1, dtype='float32', fill_value=127, gc_threshold=0.5, gc_type='none', gpus='0', image_shape='3,28,28', initializer='default', kv_store='device', load_epoch=None, loss='ce', lr=0.05, lr_factor=0.1, lr_step_epochs='200,250', macrobatch_size=0, max_crop_size=-1, max_random_area=1, max_random_aspect_ratio=0, max_random_h=0, max_random_l=0, max_random_rotate_angle=0, max_random_s=0, max_random_scale=1, max_random_shear_ratio=0, min_crop_size=-1, min_random_area=1, min_random_aspect_ratio=None, min_random_scale=1, model_prefix=None, mom=0.9, monitor=0, network='resnet', num_classes=10, num_epochs=300, num_examples=50000, num_layers=110, optimizer='sgd', pad_size=4, pca_noise=0, profile_server_suffix='', profile_worker_suffix='', random_crop=0, random_mirror=0, random_resized_crop=0, rgb_mean='123.68,116.779,103.939', rgb_std='1,1,1', saturation=0, save_period=1, test_io=0, top_k=0, use_imagenet_data_augmentation=0, warmup_epochs=5, warmup_strategy='linear', wd=0.0001)
INFO:root:Epoch[0] Batch [0-1]	Speed: 1097.51 samples/sec	accuracy=0.125000	cross-entropy=2.431048
INFO:root:Epoch[0] Batch [1-2]	Speed: 980.24 samples/sec	accuracy=0.117188	cross-entropy=2.373626
INFO:root:Epoch[0] Batch [2-3]	Speed: 1205.97 samples/sec	accuracy=0.062500	cross-entropy=2.410431
INFO:root:Epoch[0] Batch [3-4]	Speed: 1042.47 samples/sec	accuracy=0.132812	cross-entropy=2.314790
INFO:root:Epoch[0] Batch [4-5]	Speed: 1184.96 samples/sec	accuracy=0.156250	cross-entropy=2.289006
INFO:root:Epoch[0] Batch [5-6]	Speed: 1161.01 samples/sec	accuracy=0.210938	cross-entropy=2.230782
INFO:root:Epoch[0] Batch [6-7]	Speed: 1247.12 samples/sec	accuracy=0.164062	cross-entropy=2.268789
INFO:root:Epoch[0] Batch [7-8]	Speed: 1174.94 samples/sec	accuracy=0.195312	cross-entropy=2.249470
INFO:root:Epoch[0] Batch [8-9]	Speed: 1332.72 samples/sec	accuracy=0.179688	cross-entropy=2.220726
INFO:root:Epoch[0] Batch [9-10]	Speed: 1632.60 samples/sec	accuracy=0.140625	cross-entropy=2.303931
INFO:root:Epoch[0] Batch [10-11]	Speed: 948.24 samples/sec	accuracy=0.140625	cross-entropy=2.259457
